Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
662b5dca94348997711fbb5a,5c69824b98f65b0001353794,RETURNED,Not Applicable,2024-04-26T08:04:50.457000Z,,,2024-05-06T11:14:00.697138Z,,,597,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5dd6f2b3359dcf53a30b,60f1d99a67bc1538a6dadc94,RETURNED,Not Applicable,2024-04-26T07:55:58.768000Z,,,2024-05-06T11:14:00.705603Z,,,508,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5dd7d009476b7adb39eb,5edad7d6f848291823c5f99c,APPROVED,Not Applicable,2024-04-26T07:55:03.792000Z,2024-04-26T08:20:14.969000Z,2024-04-29T20:54:44.064000Z,2024-04-26T08:20:15.437479Z,1512.0,CW8BWO89,323,Yes,23,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
662b5ddbe7ba4d8175762c62,603e0fefed5529d4b14e3546,RETURNED,Not Applicable,2024-04-26T08:05:07.048000Z,,,2024-05-06T11:14:00.712186Z,,,332,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5de0b7bf046542a44560,56ebadebcdfa81000d9e2b67,APPROVED,Not Applicable,2024-04-26T07:55:12.394000Z,2024-04-26T08:12:40.510000Z,2024-04-29T20:54:44.234000Z,2024-04-26T08:12:40.998019Z,1049.0,CW8BWO89,2011,Yes,34,Female,Mixed,Canada,Canada,Canada,English,No,Full-Time
662b5de930734c45e8fe59d1,65de0a72fbc3bd908e63fbe5,APPROVED,Not Applicable,2024-04-26T07:55:21.673000Z,2024-04-26T08:05:40.368000Z,2024-04-29T20:54:44.412000Z,2024-04-26T08:05:51.143526Z,619.0,CW8BWO89,35,Yes,22,Male,White,Belgium,Belgium,Belgium,Dutch,Yes,Full-Time
662b5dea4f25556061921604,589630d22a697d0001cfca12,RETURNED,Not Applicable,2024-04-26T07:56:48.292000Z,,,2024-05-06T11:14:00.717413Z,,,1325,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5dedfce6a3e926423a4a,65032a60861e9a17bc1a7444,REJECTED,Not Applicable,2024-04-26T07:55:25.730000Z,2024-04-26T08:28:30.933000Z,2024-04-29T20:57:42.893000Z,2024-05-06T11:14:00.717099Z,1986.0,NOCODE,14,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5def2cdf40cc8eb97bc2,5fc2c54dbd472f1cb5a330aa,RETURNED,Not Applicable,2024-04-26T08:05:27.383000Z,,,2024-05-06T11:14:00.722794Z,,,139,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
662b5df0e3ee5075517b6021,6166c33cecfba0a5b5178c70,RETURNED,Not Applicable,2024-04-26T08:05:28.850000Z,,,2024-05-06T11:14:00.728210Z,,,115,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
